employee_id,employee_name,department,position,employment_status,performance_score,engagement_survey,emp_satisfaction,salary,onboarding_task_count,onboarding_completion_percentage,learning_record_count,completed_learning_records,tool_usage_record_count,average_daily_active_usage,support_ticket_count,open_support_ticket_count
10019,"Corleone, Vito",Production       ,Director of Operations,Active,Exceeds,3.7,5,170500,14,75.86,11,18900,45,0.33,3,0
10020,"Robinson, Elias",Production       ,Production Technician I,Active,Exceeds,3.6,5,63353,14,74.79,11,8820,45,0.53,2,0
10021,"Osturnka, Adeel",Production       ,Production Technician I,Active,Exceeds,5.0,3,47414,14,95.36,11,5040,45,0.56,0,0
10022,"Volk, Colleen",Production       ,Production Technician I,Terminated for Cause,Exceeds,4.3,5,49773,14,82.79,11,2520,45,0.47,1,0
10023,"Beak, Kimberly  ",Production       ,Production Technician II,Active,Exceeds,4.4,3,70131,14,89.21,10,20160,45,0.6,4,0
10024,"Szabo, Andrew",Software Engineering,Software Engineer,Active,Exceeds,4.5,5,92989,14,90.5,10,12600,45,0.58,2,0
10025,"Monterro, Luisa",Production       ,Production Technician II,Active,Exceeds,4.7,3,72460,14,70.86,11,9450,45,0.49,3,0
10026,"Adinolfi, Wilson  K",Production       ,Production Technician I,Active,Exceeds,4.6,5,62506,14,87.79,10,10080,45,0.58,4,0
10027,"Smith, Joe",Production       ,Production Technician II,Active,Exceeds,4.3,3,60656,14,78.14,11,31500,45,0.58,5,0
10028,"Dougall, Eric",IT/IS,IT Manager - Support,Active,Exceeds,4.3,5,138888,14,71.93,10,4410,45,0.49,1,0
10029,"Clukey, Elijian",Production       ,Production Technician I,Active,Exceeds,4.1,4,50373,11,98.09,11,14850,45,0.62,6,0
10030,"Squatrito, Kristen",Production       ,Production Technician I,Voluntarily Terminated,Exceeds,4.1,4,62425,14,91.93,10,22050,45,0.51,5,0
10031,"Gonzalez, Cayo",Production       ,Production Technician I,Active,Exceeds,4.5,4,59892,14,92.86,10,12600,45,0.53,2,0
10032,"Peters, Lauren",Production       ,Production Technician II,Voluntarily Terminated,Exceeds,4.2,5,57954,14,91.93,10,17640,45,0.49,4,0
10033,"Winthrop, Jordan  ",Production       ,Production Technician II,Voluntarily Terminated,Exceeds,5.0,3,70507,14,88.14,10,3780,45,0.56,1,0
10034,"Johnson, George",Production       ,Production Technician I,Voluntarily Terminated,Exceeds,4.7,4,46837,11,92.27,10,15840,45,0.58,4,0
10035,"Lunquist, Lisa",Production       ,Production Technician II,Active,Exceeds,4.2,4,73330,14,89.0,11,15120,45,0.56,4,6930
10036,"Johnston, Yen",Production       ,Production Technician II,Active,Exceeds,4.3,3,63322,14,79.64,8,18900,45,0.49,5,0
10037,"Ngodup, Shari ",Production       ,Production Technician I,Active,Exceeds,4.0,3,52984,14,75.93,11,4410,45,0.53,1,0
10038,"LaRotonda, William  ",Admin Offices,Accountant I,Active,Fully Meets,5.0,4,64520,14,93.5,10,39690,45,0.4,7,0
10039,"Singh, Nan ",Admin Offices,Administrative Assistant,Active,Fully Meets,5.0,3,51920,14,89.07,10,22050,45,0.53,5,0
10040,"Carter, Michelle ",Sales,Area Sales Manager,Active,Fully Meets,5.0,5,71860,14,76.71,10,3780,45,0.49,1,0
10041,"Ozark, Travis",Sales,Area Sales Manager,Active,Fully Meets,5.0,5,68829,14,65.43,10,10080,45,0.36,2,0
10042,"Nguyen, Dheepa",Sales,Area Sales Manager,Active,Fully Meets,5.0,5,63695,14,83.14,10,15120,45,0.42,4,0
10043,"Zhou, Julia",IT/IS,Data Analyst,Active,Fully Meets,5.0,3,89292,14,91.71,11,15120,45,0.67,3,0
10044,"Tredinnick, Neville ",IT/IS,Network Engineer,Voluntarily Terminated,Fully Meets,5.0,3,75281,14,79.57,10,8820,45,0.6,2,0
10045,"Turpin, Jumil",IT/IS,Network Engineer,Active,Fully Meets,5.0,4,76029,14,85.21,10,20160,45,0.62,4,0
10046,"Bernstein, Sean",Production       ,Production Technician I,Active,Fully Meets,5.0,3,51044,11,75.27,10,22275,45,0.42,5,0
10047,"Robinson, Alain  ",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,5.0,3,50428,14,95.21,9,15750,45,0.58,5,0
10048,"Wilber, Barry",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,5.0,3,55140,14,62.64,10,35280,45,0.51,7,6300
10049,"Fidelia,  Libby",Production       ,Production Technician I,Active,Fully Meets,5.0,5,58530,12,69.17,10,5400,45,0.64,1,0
10050,"Pham, Hong",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,5.0,3,64724,14,100.0,11,31500,45,0.6,5,0
10051,"Gordon, David",Production       ,Production Technician I,Active,Fully Meets,5.0,3,48285,14,83.5,10,11340,45,0.53,2,0
10052,"Langton, Enrico",Production       ,Production Technician I,Active,Fully Meets,5.0,5,46120,14,89.14,9,15120,45,0.56,6,0
10053,"Maurice, Shana",Production       ,Production Technician I,Active,Fully Meets,5.0,4,54132,14,93.14,10,9450,45,0.58,3,0
10054,"Rose, Ashley  ",Production       ,Production Technician I,Active,Fully Meets,5.0,4,60627,14,72.71,11,15120,45,0.58,6,0
10055,"Beatrice, Courtney ",Production       ,Production Technician I,Active,Fully Meets,5.0,5,59026,11,80.64,10,2970,45,0.56,1,0
10056,"Darson, Jene'ya ",Production       ,Production Technician I,Active,Fully Meets,5.0,3,57583,14,74.64,10,26460,45,0.64,6,0
10057,"Lydon, Allison",Production       ,Production Technician I,Active,Fully Meets,5.0,3,52057,14,82.29,10,15750,45,0.56,5,6300
10058,"Rhoads, Thomas",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,5.0,4,45115,14,96.14,10,17640,45,0.53,4,0
10059,"Gross, Paula",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,5.0,5,63813,14,82.14,11,37800,45,0.58,6,0
10060,"Jhaveri, Sneha  ",Production       ,Production Technician I,Active,Fully Meets,5.0,5,60436,14,79.5,11,28350,45,0.56,5,0
10061,"Bates, Norman",Production       ,Production Technician I,Terminated for Cause,Fully Meets,5.0,4,57834,14,81.14,11,10080,45,0.6,4,0
10062,"Athwal, Sam",Production       ,Production Technician I,Active,Fully Meets,5.0,4,59365,14,84.64,10,5040,45,0.62,0,0
10063,"Newman, Richard ",Production       ,Production Technician I,Active,Fully Meets,5.0,5,48495,11,93.18,11,3960,45,0.49,0,0
10064,"Eaton, Marianne",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,5.0,3,60070,14,96.57,10,3780,45,0.53,1,0
10065,"Rossetti, Bruno",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,5.0,5,53180,14,95.57,10,17640,45,0.51,4,0
10066,"Barton, Nader",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,5.0,5,52505,14,86.86,10,31500,45,0.6,5,0
10067,"Chace, Beatrice ",Production       ,Production Technician I,Active,Fully Meets,5.0,4,61656,14,97.07,11,22680,45,0.53,4,0
10068,"Medeiros, Jennifer",Production       ,Production Technician I,Active,Fully Meets,5.0,4,55688,14,87.29,11,11340,45,0.51,2,0
10069,"Anderson, Carol ",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,5.0,4,50825,12,98.67,11,8640,45,0.6,2,0
10070,"DeGweck,  James",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,5.0,4,55722,14,72.0,11,15750,45,0.6,5,0
10071,"Sewkumar, Nori",Production       ,Production Technician I,Active,Fully Meets,5.0,5,50923,14,86.64,11,28350,45,0.53,5,0
10072,"Whittier, Scott",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,5.0,5,58371,14,80.07,10,50400,45,0.69,10,0
10073,"Mancuso, Karen",Production       ,Production Technician II,Voluntarily Terminated,Fully Meets,5.0,4,68407,14,85.57,11,18900,45,0.62,5,0
10074,"Hankard, Earnest",Production       ,Production Technician II,Active,Fully Meets,5.0,3,64246,14,88.36,10,3780,45,0.58,1,0
10075,"Hendrickson, Trina",Production       ,Production Technician II,Voluntarily Terminated,Fully Meets,5.0,3,68099,14,82.0,10,5670,45,0.49,1,0
10076,"Carthy, B'rigit",Production       ,Production Technician II,Active,Fully Meets,5.0,5,55315,14,85.71,10,22050,45,0.6,7,0
10077,"Manchester, Robyn",Production       ,Production Technician II,Active,Fully Meets,5.0,3,62385,14,88.79,11,4410,45,0.53,0,0
10078,"Oliver, Brooke ",Production       ,Production Technician II,Voluntarily Terminated,Fully Meets,5.0,3,71966,14,93.43,11,3150,45,0.49,1,0
10079,"Navathe, Kurt",IT/IS,Senior BI Developer,Active,Fully Meets,5.0,3,87921,14,82.79,11,22680,45,0.62,6,0
10080,"Foster-Baker, Amy",Admin Offices,Sr. Accountant,Active,Fully Meets,5.0,3,99351,14,91.71,10,11340,45,0.42,2,0
10081,"Boutwell, Bonalyn",Admin Offices,Sr. Accountant,Active,Fully Meets,5.0,4,106367,14,81.5,10,25200,45,0.42,5,0
10082,"Carr, Claudia  N",IT/IS,Sr. DBA,Active,Fully Meets,5.0,5,100031,14,83.86,10,17640,45,0.56,4,0
10083,"Cross, Noah",IT/IS,Sr. Network Engineer,Active,Fully Meets,5.0,3,92329,14,79.29,10,22050,45,0.58,5,0
10084,"Ait Sidi, Karthikeyan   ",IT/IS,Sr. DBA,Voluntarily Terminated,Fully Meets,4.96,3,104437,14,85.79,11,30240,45,0.58,6,0
10085,"Carabbio, Judith",Software Engineering,Software Engineer,Active,Fully Meets,4.96,4,93396,14,82.93,11,6300,45,0.44,1,0
10086,"Roper, Katie",IT/IS,Data Architect,Active,Fully Meets,4.94,3,150290,12,80.17,11,18900,45,0.49,5,0
10087,"Leach, Dallas",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,4.88,3,63676,12,71.42,11,24300,45,0.62,5,5940
10088,"Alagbe,Trina",Production       ,Production Technician I,Active,Fully Meets,4.84,5,64991,14,91.29,10,15120,45,0.69,3,0
10089,"King, Janet",Executive Office,President & CEO,Active,Fully Meets,4.83,3,250000,14,95.14,10,22050,45,0.47,5,0
10090,"Spirea, Kelley",Production       ,Production Manager,Active,Fully Meets,4.83,5,65714,13,68.54,10,37440,45,0.51,8,0
10091,"Shields, Seffi",Production       ,Production Technician I,Active,Fully Meets,4.81,4,52087,14,83.29,10,25200,45,0.51,4,0
10092,"Landa, Hans",Production       ,Production Manager,Terminated for Cause,Fully Meets,4.78,4,82758,14,84.14,10,30240,45,0.4,6,0
10093,"Fitzpatrick, Michael  J",Production       ,Production Technician II,Voluntarily Terminated,Fully Meets,4.76,5,72609,14,80.29,9,22680,45,0.56,6,0
10094,"Cornett, Lisa ",Production       ,Production Technician I,Active,Fully Meets,4.73,5,63381,14,73.64,10,5040,45,0.51,1,0
10095,"Sloan, Constance",Production       ,Production Technician II,Voluntarily Terminated,Fully Meets,4.68,4,63878,14,78.29,10,9450,45,0.51,3,0
10096,"Lundy, Susan",Production       ,Production Technician II,Voluntarily Terminated,Fully Meets,4.65,4,67237,14,76.5,10,18900,45,0.49,6,6300
10097,"Harrington, Christie ",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,4.64,4,52177,10,83.4,11,20250,45,0.51,5,0
10098,"Gray, Elijiah  ",Production       ,Production Manager,Active,Fully Meets,4.63,3,62957,14,68.36,10,8820,45,0.31,2,0
10099,"Daneault, Lynn",Sales,Sales Manager,Active,Fully Meets,4.62,4,65729,14,83.5,10,18900,45,0.42,6,0
10100,"Demita, Carla",Production       ,Production Technician II,Voluntarily Terminated,Fully Meets,4.62,5,58275,14,82.14,10,17640,45,0.53,4,12600
10101,"Gonzalez, Maria",IT/IS,IT Support,Active,Fully Meets,4.61,4,61242,14,74.14,10,15120,45,0.53,4,0
10102,"True, Edward",Software Engineering,Software Engineer,Voluntarily Terminated,Fully Meets,4.6,3,100416,14,92.86,11,30240,45,0.53,6,0
10103,"Leruth, Giovanni",Sales,Area Sales Manager,Active,Fully Meets,4.53,3,70468,12,78.17,11,30240,45,0.47,7,0
10104,"Nowlan, Kristie",Production       ,Production Technician II,Active,Fully Meets,4.53,5,66738,14,90.71,11,11340,45,0.56,2,0
10105,"Dunn, Amy  ",Production       ,Production Manager,Active,Fully Meets,4.52,4,75188,14,82.29,10,34020,45,0.42,6,0
10106,"Langford, Lindsey",Production       ,Production Technician II,Voluntarily Terminated,Fully Meets,4.52,3,66074,14,82.29,10,15120,45,0.51,3,6300
10107,"Burke, Joelle",Production       ,Production Technician II,Active,Fully Meets,4.51,4,63763,13,79.08,8,5850,45,0.56,2,0
10108,"Champaigne, Brian",IT/IS,BI Director,Active,Fully Meets,4.5,5,110929,14,90.79,10,11340,45,0.44,2,0
10109,"Guilianno, Mike",Sales,Area Sales Manager,Voluntarily Terminated,Fully Meets,4.5,5,71707,14,65.64,10,13230,45,0.4,3,0
10110,"Martin, Sandra",Software Engineering,Software Engineer,Active,Fully Meets,4.5,5,105688,14,67.14,10,7560,45,0.51,2,0
10111,"Garcia, Raul",Production       ,Production Technician I,Active,Fully Meets,4.5,3,52249,12,67.83,10,8640,45,0.64,2,0
10112,"Horton, Jayne",IT/IS,Database Administrator,Active,Fully Meets,4.48,5,97999,14,95.21,10,30240,45,0.53,6,0
10113,"Lajiri,  Jyoti",IT/IS,Sr. Network Engineer,Active,Fully Meets,4.46,5,93206,14,93.93,10,15120,45,0.58,3,0
10114,"Bachiochi, Linda",Production       ,Production Technician I,Active,Fully Meets,4.46,3,47837,14,82.0,10,7560,45,0.51,2,0
10115,"Carey, Michael  ",Production       ,Production Technician I,Active,Fully Meets,4.43,3,52846,14,85.86,10,17640,45,0.49,4,6300
10116,"Miller, Brannon",Production       ,Production Manager,Active,Fully Meets,4.37,3,83667,14,93.14,10,13230,45,0.36,3,0
10117,"Sullivan, Timothy",Production       ,Production Technician I,Active,Fully Meets,4.36,5,63025,14,90.43,11,8820,45,0.64,2,0
10118,"Voldemort, Lord",IT/IS,Database Administrator,Terminated for Cause,Fully Meets,4.33,3,113999,14,78.71,10,28350,45,0.56,5,0
10119,"Soto, Julia ",IT/IS,IT Support,Active,Fully Meets,4.3,3,66593,14,90.93,11,11340,45,0.6,2,0
10120,"Moumanil, Maliki ",Production       ,Production Technician II,Active,Fully Meets,4.29,5,74417,14,67.14,10,20160,45,0.58,4,0
10121,"Onque, Jasmine",Sales,Area Sales Manager,Active,Fully Meets,4.28,3,63051,14,86.64,9,25200,45,0.53,5,5670
10122,"Gerke, Melisa",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,4.24,4,51505,14,79.29,10,11340,45,0.56,3,0
10123,"Tippett, Jeanette",Production       ,Production Technician I,Active,Fully Meets,4.21,5,56339,12,90.42,11,3780,45,0.53,1,0
10124,"Potts, Xana",Sales,Area Sales Manager,Active,Fully Meets,4.2,5,61844,14,93.07,11,17010,45,0.47,3,0
10125,"Handschiegl, Joanne",Production       ,Production Technician I,Active,Fully Meets,4.2,4,54828,11,78.82,8,4950,45,0.53,2,0
10126,"Saada, Adell",Software Engineering,Software Engineer,Active,Fully Meets,4.2,3,86214,14,95.86,11,18900,45,0.49,6,0
10127,"Warfield, Sarah",IT/IS,Sr. Network Engineer,Active,Fully Meets,4.2,4,107226,11,85.09,11,3960,45,0.56,0,0
10128,"Meads, Elizabeth",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,4.18,4,62659,14,95.86,11,17010,45,0.56,3,0
10129,"Heitzman, Anthony",Production       ,Production Technician I,Active,Fully Meets,4.17,4,46998,14,92.86,10,5670,45,0.53,0,0
10130,"Peterson, Ebonee  ",Production       ,Production Manager,Voluntarily Terminated,Fully Meets,4.16,5,74669,14,86.21,11,18900,45,0.36,3,0
10131,"Quinn, Sean",Software Engineering,Software Engineer,Voluntarily Terminated,Fully Meets,4.15,4,83363,14,79.0,10,35280,45,0.56,7,0
10132,"Crimmings,   Jean",Production       ,Production Technician I,Active,Fully Meets,4.12,5,56149,12,80.33,10,27000,45,0.56,5,0
10133,"Dolan, Linda",IT/IS,IT Support,Active,Fully Meets,4.11,4,70621,14,96.57,10,8820,45,0.58,2,0
10134,"LeBlanc, Brandon  R",Admin Offices,Shared Services Manager,Active,Fully Meets,4.1,4,93046,14,85.79,10,26460,45,0.56,7,0
10135,"Woodson, Jason",Production       ,Production Technician II,Active,Fully Meets,4.07,4,65893,14,77.14,11,11340,45,0.58,3,0
10136,"Fancett, Nicole",Production       ,Production Technician II,Active,Fully Meets,4.0,4,65902,13,83.38,11,23400,45,0.51,5,0
10137,"Linden, Mathew",Production       ,Production Technician II,Active,Fully Meets,4.0,3,63450,14,90.57,11,41580,45,0.56,6,6930
10138,"Jung, Judy  ",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,4.0,4,61154,14,87.64,11,5670,45,0.53,1,0
10139,"Ivey, Rose ",Production       ,Production Technician I,Active,Fully Meets,3.99,3,51908,14,82.0,10,18900,45,0.6,5,0
10140,"Ren, Kylo",Sales,Area Sales Manager,Active,Fully Meets,3.98,3,61809,14,78.36,10,15120,45,0.49,4,0
10141,"Theamstern, Sophia",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,3.98,4,48413,14,85.29,10,13230,45,0.53,3,0
10142,"Gill, Whitney  ",Sales,Area Sales Manager,Terminated for Cause,Fully Meets,3.97,4,59370,14,83.93,11,11340,45,0.4,3,0
10143,"Davis, Daniel",Production       ,Production Technician II,Active,Fully Meets,3.96,4,56294,13,81.92,10,21060,45,0.56,4,0
10144,"Vega, Vincent",Production       ,Production Manager,Active,Fully Meets,3.93,3,88976,14,75.43,10,10080,45,0.29,4,0
10145,"Mckenna, Sandy",Production       ,Production Technician I,Active,Fully Meets,3.93,3,62810,14,80.79,11,25200,45,0.6,5,0
10146,"Tejeda, Lenora ",Production       ,Production Technician II,Voluntarily Terminated,Fully Meets,3.93,3,72202,14,66.0,11,18900,45,0.49,6,0
10147,"Steans, Tyrone  ",Admin Offices,Accountant I,Active,Fully Meets,3.9,5,63003,14,88.93,10,15120,45,0.44,4,0
10148,"Panjwani, Nina",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,3.89,4,63515,14,85.93,11,2520,45,0.53,0,0
10149,"Roehrich, Bianca",IT/IS,Principal Data Architect,Voluntarily Terminated,Fully Meets,3.88,3,120000,14,88.21,11,9450,45,0.49,3,0
10150,"Cady, Max ",Software Engineering,Software Engineering Manager,Active,Fully Meets,3.84,3,77692,11,62.27,7,1485,45,0.58,3,0
10151,"Morway, Tanya",IT/IS,Network Engineer,Active,Fully Meets,3.81,3,52599,14,81.0,11,8820,45,0.58,2,0
10152,"Rarrick, Quinn",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,3.8,5,61729,13,82.69,10,17550,45,0.53,6,0
10153,"Smith, Leigh Ann",Admin Offices,Administrative Assistant,Voluntarily Terminated,Fully Meets,3.8,4,55000,11,74.91,10,15840,45,0.47,4,0
10154,"Chang, Donovan  E",Production       ,Production Technician I,Active,Fully Meets,3.8,5,60380,10,54.6,10,10800,45,0.53,3,0
10155,"Del Bosque, Keyla",Software Engineering,Software Engineer,Active,Fully Meets,3.79,5,101199,14,84.64,11,25200,45,0.53,5,0
10156,"Johnson, Noelle ",IT/IS,Database Administrator,Active,Fully Meets,3.75,3,105700,14,93.57,10,4410,45,0.51,1,0
10157,"Smith, Sade",Production       ,Production Technician I,Active,Fully Meets,3.73,3,58939,14,75.57,10,22680,45,0.53,4,0
10158,"Sullivan, Kissy ",Production       ,Production Manager,Active,Fully Meets,3.73,4,63682,14,94.0,9,25200,45,0.53,8,0
10159,"Gentry, Mildred",Production       ,Production Technician I,Active,Fully Meets,3.73,3,51337,14,85.14,10,5670,45,0.56,1,0
10160,"Huynh, Ming",Production       ,Production Technician II,Voluntarily Terminated,Fully Meets,3.72,3,68182,14,81.43,11,26460,45,0.51,6,0
10161,"Terry, Sharlene ",Sales,Area Sales Manager,Active,Fully Meets,3.69,3,58370,13,86.85,11,14040,45,0.51,3,0
10162,"Roby, Lori ",IT/IS,Data Analyst,Active,Fully Meets,3.69,5,89883,14,73.79,10,15120,45,0.62,3,0
10163,"Foreman, Tanya",Production       ,Production Technician II,Voluntarily Terminated,Fully Meets,3.66,3,55965,14,91.57,10,3150,45,0.49,1,0
10164,"Pitt, Brad ",Production       ,Production Technician I,Active,Fully Meets,3.66,3,47001,14,75.64,11,15120,45,0.56,3,13860
10165,"Kreuger, Freddy",Sales,Area Sales Manager,Active,Fully Meets,3.65,5,71339,14,78.57,9,15120,45,0.49,4,0
10166,"Kinsella, Kathleen  ",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,3.6,5,54005,14,80.57,11,15120,45,0.53,3,0
10167,"Hitchcock, Alfred",Sales,Area Sales Manager,Active,Fully Meets,3.6,5,70545,14,91.57,11,15120,45,0.47,3,0
10168,"Cierpiszewski, Caroline  ",Production       ,Production Technician I,Active,Fully Meets,3.58,5,64816,10,77.2,10,10800,45,0.58,3,0
10169,"Sander, Kamrin",Production       ,Production Technician I,Active,Fully Meets,3.51,3,56147,14,91.64,10,13230,45,0.56,3,0
10170,"Kirill, Alexandra  ",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,3.49,4,45433,14,90.36,11,20160,45,0.51,4,0
10171,"Perry, Shakira",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,3.45,4,45998,14,71.57,11,11340,45,0.6,3,0
10172,"Wang, Charlie",IT/IS,Senior BI Developer,Active,Fully Meets,3.42,4,84903,14,90.71,11,11340,45,0.56,3,0
10173,"Tannen, Biff",IT/IS,BI Developer,Active,Fully Meets,3.4,3,90100,14,80.71,11,18900,45,0.58,3,0
10174,"Wolk, Hang  T",Production       ,Production Technician II,Active,Fully Meets,3.4,4,60446,14,84.21,10,25200,45,0.49,4,6300
10175,"Bozzi, Charles",Production       ,Production Manager,Voluntarily Terminated,Fully Meets,3.39,3,74312,14,75.07,10,7560,45,0.4,2,0
10176,"Kretschmer, John",Production       ,Production Technician I,Active,Fully Meets,3.38,3,63973,12,88.33,10,6480,45,0.47,2,0
10177,"Brill, Donna",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,3.35,4,53492,14,93.07,11,7560,45,0.42,2,0
10178,"Simard, Kramer",IT/IS,Data Analyst,Active,Fully Meets,3.32,3,87826,14,95.43,10,18900,45,0.44,6,0
10179,"Shepard, Anita ",IT/IS,Network Engineer,Active,Fully Meets,3.31,3,50750,14,78.29,11,30240,45,0.56,6,0
10180,"Soze, Keyser",IT/IS,Sr. Network Engineer,Active,Fully Meets,3.27,4,87565,14,86.29,10,25200,45,0.49,4,0
10181,"Burkett, Benjamin ",Production       ,Production Technician II,Active,Fully Meets,3.25,5,62162,14,82.86,10,17640,45,0.56,4,6300
10182,"Howard, Estelle",Admin Offices,Administrative Assistant,Terminated for Cause,Fully Meets,3.24,3,49920,14,83.71,10,6300,45,0.47,1,0
10183,"Von Massenbach, Anna",Production       ,Production Technician I,Active,Fully Meets,3.21,3,62068,14,93.79,10,11340,45,0.53,3,0
10184,"Buccheri, Joseph  ",Production       ,Production Technician II,Active,Fully Meets,3.19,3,65288,14,86.71,10,7560,45,0.53,2,0
10185,"Ndzi, Horia",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,3.18,3,46664,14,79.21,10,5670,45,0.62,1,0
10186,"Linares, Marilyn ",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,3.18,4,52624,14,76.36,11,5670,45,0.62,0,0
10187,"Power, Morissa",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,3.17,4,46799,12,90.42,11,8640,45,0.56,2,0
10188,"Bunbury, Jessica",Sales,Area Sales Manager,Voluntarily Terminated,Fully Meets,3.14,5,74326,14,90.57,10,22050,45,0.42,7,0
10189,"Ferguson, Susan",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,3.13,3,57748,14,87.79,11,5040,45,0.6,1,0
10190,"Walker, Roger",Production       ,Production Technician II,Active,Fully Meets,3.11,5,66541,12,85.67,11,4860,45,0.56,1,0
10191,"MacLennan, Samuel",Production       ,Production Technician I,Voluntarily Terminated,Fully Meets,3.08,4,52788,14,85.0,11,6300,45,0.58,2,0
10192,"Keatts, Kramer ",Production       ,Production Technician I,Active,Fully Meets,3.07,4,50482,14,95.57,11,18900,45,0.56,5,0
10193,"Costello, Frank",IT/IS,Data Analyst,Active,Fully Meets,3.04,3,83552,14,82.71,10,3780,45,0.58,1,0
10194,"Andreola, Colby",Software Engineering,Software Engineer,Active,Fully Meets,3.04,3,95660,14,78.5,11,8820,45,0.62,2,0
10195,"Homberger, Adrienne  J",Production       ,Production Technician II,Voluntarily Terminated,Fully Meets,3.03,5,63478,14,89.21,11,20160,45,0.49,4,0
10196,"Akinkuolie, Sarah",Production       ,Production Technician II,Voluntarily Terminated,Fully Meets,3.02,3,64955,14,88.43,10,39690,45,0.51,7,0
10197,"DeVito, Tommy",IT/IS,BI Developer,Active,Fully Meets,3.01,5,96820,14,90.5,11,10080,45,0.58,2,0
10198,"Roup,Simon",IT/IS,IT Manager - DB,Active,Fully Meets,3.6,5,140920,12,91.67,10,2160,45,0.49,1,0
10199,"Booth, Frank",IT/IS,Enterprise Architect,Terminated for Cause,Fully Meets,3.5,5,103613,14,83.5,10,8820,45,0.56,2,0
